MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
11/30/2021,1.75,99.236,99.242,-0.766,1.854
11/30/2021,1.875,100.01,100.014,-0.084,1.855
12/15/2021,2.625,101.28,101.284,-0.774,1.828
12/31/2021,2,100.12,100.124,-0.092,1.838
12/31/2021,2.125,100.212,100.216,-0.092,1.843
1/15/2022,2.5,101.186,101.192,-0.094,1.846
1/31/2022,1.5,99.046,99.052,-0.094,1.835
1/31/2022,1.875,100.014,100.02,-0.096,1.85
2/15/2022,2,100.126,100.132,-0.096,1.836
2/15/2022,2.5,101.204,101.21,-0.096,1.846
2/28/2022,1.75,99.24,99.244,-0.774,1.841
2/28/2022,1.875,100.022,100.026,-0.094,1.841
3/15/2022,2.375,101.146,101.152,-0.098,1.809
3/31/2022,1.75,99.244,99.25,-0.776,1.832
3/31/2022,1.875,100.04,100.044,-0.1,1.822
4/15/2022,2.25,101.026,101.032,-0.104,1.84
4/30/2022,1.75,99.246,99.252,-0.778,1.827
4/30/2022,1.875,100.026,100.032,-0.104,1.837
5/15/2022,1.75,99.242,99.246,-0.782,1.832
5/15/2022,2.125,100.252,100.256,-0.784,1.834
5/31/2022,1.75,99.242,99.246,-0.782,1.83
5/31/2022,1.875,100.042,100.046,-0.102,1.822
6/15/2022,1.75,99.26,99.264,-0.782,1.808
6/30/2022,1.75,99.246,99.252,-0.794,1.823
6/30/2022,2.125,100.266,100.272,-0.79,1.83
7/31/2022,1.875,100.034,100.04,-0.11,1.833
7/31/2022,2,100.154,100.16,-0.11,1.831
8/15/2022,1.625,99.112,99.116,-0.112,1.835
8/15/2022,7.25,116.06,116.064,-0.132,1.855
8/31/2022,1.625,99.11,99.114,-0.112,1.835
8/31/2022,1.875,100.034,100.04,-0.116,1.834
9/30/2022,1.75,99.236,99.242,-0.798,1.827
9/30/2022,1.875,100.046,100.052,-0.116,1.822
10/31/2022,1.875,100.046,100.052,-0.12,1.823
10/31/2022,2,100.172,100.176,-0.12,1.826
11/15/2022,1.625,99.11,99.114,-0.116,1.823
11/15/2022,7.625,118.226,118.232,-0.824,1.84
11/30/2022,2,100.174,100.18,-0.126,1.828
12/31/2022,2.125,101,101.004,-0.124,1.822
1/31/2023,1.75,99.232,99.236,-0.802,1.825
1/31/2023,2.375,101.28,101.284,-0.804,1.824
2/15/2023,2,100.19,100.194,-0.126,1.824
2/15/2023,7.125,118.104,118.11,-0.148,1.842
2/28/2023,1.5,98.272,98.276,-0.808,1.822
2/28/2023,2.625,102.252,102.256,-0.808,1.826
3/31/2023,1.5,98.26,98.264,-0.814,1.826
3/31/2023,2.5,102.132,102.136,-0.134,1.823
4/30/2023,1.625,99.08,99.084,-0.13,1.825
4/30/2023,2.75,103.12,103.124,-0.134,1.825
5/15/2023,1.75,99.222,99.226,-0.814,1.828
5/31/2023,1.625,99.08,99.084,-0.134,1.821
5/31/2023,2.75,103.136,103.142,-0.144,1.83
6/30/2023,1.375,98.082,98.086,-0.138,1.827
6/30/2023,2.625,103.014,103.02,-0.146,1.823
7/31/2023,1.25,97.232,97.236,-0.818,1.829
7/31/2023,2.75,103.176,103.182,-0.834,1.834
8/15/2023,2.5,102.21,102.214,-0.822,1.821
8/15/2023,6.25,117.12,117.124,-0.164,1.832
8/31/2023,1.375,98.06,98.064,-0.136,1.827
8/31/2023,2.75,103.204,103.21,-0.828,1.83
9/30/2023,1.375,98.044,98.05,-0.146,1.83
9/30/2023,2.875,104.064,104.07,-0.152,1.833
10/31/2023,1.625,99.042,99.046,-0.142,1.831
10/31/2023,2.875,104.084,104.09,-0.156,1.838
11/15/2023,2.75,103.262,103.266,-0.83,1.829
11/30/2023,2.125,101.064,101.07,-0.156,1.835
11/30/2023,2.875,104.124,104.13,-0.152,1.827
12/31/2023,2.25,101.242,101.246,-0.832,1.836
12/31/2023,2.625,103.116,103.122,-0.156,1.83
1/31/2024,2.5,102.276,102.282,-0.838,1.838
2/15/2024,2.75,104.006,104.012,-0.16,1.831
2/29/2024,2.125,101.082,101.086,-0.16,1.838
2/29/2024,2.375,102.132,102.136,-0.158,1.827
3/31/2024,2.125,101.084,101.09,-0.16,1.841
4/30/2024,2,100.222,100.226,-0.842,1.845
4/30/2024,2.25,101.276,101.282,-0.85,1.839
5/15/2024,2.5,103.012,103.016,-0.168,1.839
5/31/2024,2,100.25,100.254,-0.842,1.829
6/30/2024,1.75,99.184,99.19,-0.842,1.836
6/30/2024,2,100.224,100.23,-0.848,1.848
7/31/2024,2.125,101.096,101.102,-0.16,1.851
8/15/2024,2.375,102.166,102.172,-0.85,1.851
8/31/2024,1.875,100.032,100.036,-0.162,1.851
9/30/2024,2.125,101.094,101.1,-0.168,1.86
10/31/2024,2.25,101.3,101.304,-0.846,1.862
11/15/2024,2.25,101.3,101.304,-0.85,1.865
11/15/2024,7.5,128.182,128.186,-0.89,1.864
11/30/2024,2.125,101.1,101.104,-0.166,1.865
12/31/2024,2.25,101.306,101.312,-0.856,1.869
1/31/2025,2.5,103.096,103.102,-0.176,1.869
2/15/2025,2,100.196,100.202,-0.858,1.88
2/15/2025,7.625,130.12,130.124,-0.896,1.885
2/28/2025,2.75,104.204,104.21,-0.86,1.877
3/31/2025,2.625,104.002,104.006,-0.18,1.881
4/30/2025,2.875,105.132,105.136,-0.184,1.884
